Org,Label,Clade1,Clade2,Clade5
ALLM3,211_ALLM3,2_Fungi,Bfungi,Blastocladiomycota
ALLMA,212_ALLMA,2_Fungi,Bfungi,Blastocladiomycota
SCHPM,221_SCHPM,2_Fungi,Dikarya,Ascomycota
TUBME,222_TUBME,2_Fungi,Dikarya,Ascomycota
NEUCS,223_NEUCS,2_Fungi,Dikarya,Ascomycota
YEAST,224_YEAST,2_Fungi,Dikarya,Ascomycota
CRYNE,231_CRYNE,2_Fungi,Dikarya,Basidiomycota
COPCI,232_COPCI,2_Fungi,Dikarya,Basidiomycota
USTMD,233_USTMD,2_Fungi,Dikarya,Basidiomycota
9FUNG,241_9FUNG,2_Fungi,Mfungi,Mucoromycota 
MUCCI,242_MUCCI,2_Fungi,Mfungi,Mucoromycota 
RHIOR,243_RHIOR,2_Fungi,Mfungi,Mucoromycota 
BATDE,251_BATDE,2_Fungi,Cfungi,Chytridiomycota
SPIPN,252_SPIPN,2_Fungi,Cfungi,Chytridiomycota
ENCCN,261_ENCCN,2_Fungi,Mpfungi,Microsporida
THETB,311_THETB,3_Amorphea,Apusozoa,Apusozoa
DICPU,321_DICPU,3_Amorphea,Amoebozoa,Dictyostelia
DICDI,322_DICDI,3_Amorphea,Amoebozoa,Dictyostelia
HETPA,331_HETPA,3_Amorphea,Amoebozoa,Variosea
ENTHI,332_ENTHI,3_Amorphea,Amoebozoa,Variosea
9EUKA16,333_9EUKA16,3_Amorphea,Amoebozoa,Variosea
9EUKA2,341_9EUKA2,3_Amorphea,Amoebozoa,Tubulinea
9EUKA18,342_9EUKA18,3_Amorphea,Amoebozoa,Tubulinea
9EUKA13,351_9EUKA13,3_Amorphea,Amoebozoa,Discosea
9EUKA25,352_9EUKA25,3_Amorphea,Amoebozoa,Discosea
ACACF,353_ACACF,3_Amorphea,Amoebozoa,Discosea
ACACA,354_ACACA,3_Amorphea,Amoebozoa,Discosea
9EUKA22,361_9EUKA22,3_Amorphea,Amoebozoa,Amoebozoa
GALSU,411_GALSU,4_Algae,Rhodophyta,Bangiophyceae
NEOHI,412_NEOHI,4_Algae,Rhodophyta,Bangiophyceae
PORPP,413_PORPP,4_Algae,Rhodophyta,Bangiophyceae
PORUM,414_PORUM,4_Algae,Rhodophyta,Bangiophyceae
9RHOD4,415_9RHOD4,4_Algae,Rhodophyta,Bangiophyceae
9RHOD2,416_9RHOD2,4_Algae,Rhodophyta,Bangiophyceae
CYAME,417_CYAME,4_Algae,Rhodophyta,Bangiophyceae
CYAM1,418_CYAM1,4_Algae,Rhodophyta,Bangiophyceae
9FLOR,421_9FLOR,4_Algae,Rhodophyta,Florideophyceae
CHOCR,422_CHOCR,4_Algae,Rhodophyta,Florideophyceae
9RHOD1,431_9RHOD1,4_Algae,Rhodophyta,Compsopogonophyceae
9RHOD3,441_9RHOD3,4_Algae,Rhodophyta,Stylonematophyceae
MICPC,451_MICPC,4_Algae,Chlorophyta,Mamiellophyceae
MICPS,452_MICPS,4_Algae,Chlorophyta,Mamiellophyceae
OSTTA,453_OSTTA,4_Algae,Chlorophyta,Mamiellophyceae
CHLRE,461_CHLRE,4_Algae,Chlorophyta,Chlorophyta
CHLVA,462_CHLVA,4_Algae,Chlorophyta,Chlorophyta
9EUKA6,471_9EUKA6,4_Algae,Glaucophyta,Glaucophyta
CYAPA,472_CYAPA,4_Algae,Glaucophyta,Glaucophyta
DIALT,611_DIALT,6_Haptophyta,Pavlovales,Pavlovales
9EUKA15,621_9EUKA15,6_Haptophyta,Prymnesiophyceae,Phaeocystales
9EUKA7,631_9EUKA7,6_Haptophyta,Prymnesiophyceae,Prymnesiales
9EUKA17,632_9EUKA17,6_Haptophyta,Prymnesiophyceae,Prymnesiales
9EUKA4,633_9EUKA4,6_Haptophyta,Prymnesiophyceae,Prymnesiales
9EUKA8,634_9EUKA8,6_Haptophyta,Prymnesiophyceae ,Prymnesiales
EMIHU,641_EMIHU,6_Haptophyta,Prymnesiophyceae,Isochrysidales
CHRCT,642_CHRCT,6_Haptophyta,Prymnesiophyceae,Isochrysidales
9EUKA3,651_9EUKA3,6_Haptophyta,Prymnesiophyceae,Coccolithales
9EUKA5,652_9EUKA5,6_Haptophyta,Prymnesiophyceae,Coccolithales
ERYGU,712_ERYGU,7_Embryophyta,Tracheophyta,Eucotyledonea
AQUCA,721_AQUCA,7_Embryophyta,Tracheophyta,Eucotyledonea
ARATH,711_ARATH,7_Embryophyta,Tracheophyta,Eucotyledonea
BRADI,731_BRADI,7_Embryophyta,Tracheophyta,Monocotyledon
SORBI,732_SORBI,7_Embryophyta,Tracheophyta,Monocotyledon
SELML,733_SELML,7_Embryophyta,Tracheophyta,Lycopodiopsida
PHYPA,741_PHYPA,7_Embryophyta,Bryophyta,Bryophyta
TOXGO,811_TOXGO,8_Sar,Alveolata,Apicomplexa
PLAFA,812_PLAFA,8_Sar,Alveolata,Apicomplexa
PERM5,821_PERM5,8_Sar,Alveolata,Perkinsozoa
PARTE,831_PARTE,8_Sar,Alveolata,Ciliophora
TETTS,832_TETTS,8_Sar,Alveolata,Ciliophora
TETTH,833_TETTH,8_Sar,Alveolata,Ciliophora
9EUKA21,841_9EUKA21,8_Sar,Rhizaria,Endomyxa
9EUKA1,842_9EUKA1,8_Sar,Rhizaria,Cercozoa
BIGNA,843_BIGNA,8_Sar,Rhizaria,Cercozoa
9EUKA11,844_9EUKA11,8_Sar,Rhizaria,Cercozoa
9EUKA9,845_9EUKA9,8_Sar,Rhizaria,Cercozoa
9EUKA10,846_9EUKA10,8_Sar,Rhizaria,Cercozoa
PHYIN,851_PHYIN,8_Sar,Stramenopiles,Peronosporales
AURAN,852_AURAN,8_Sar,Stramenopiles,Pelagophyceae
PHATC,853_PHATC,8_Sar,Stramenopiles,Bacillariophyta
PHATR,854_PHATR,8_Sar,Stramenopiles,Bacillariophyta
NANGC,855_NANGC,8_Sar,Stramenopiles,Eustigmatophyceae
ECTSI,856_ECTSI,8_Sar,Stramenopiles,Phaeophyceae
9EUKA12,861_9EUKA12,8_Sar,Palpitomonas,Palpitomonas
LEIMA,911_LEIMA,9_Excavata,Discoba,Discoba
TRYCR,912_TRYCR,9_Excavata,Discoba,Discoba
9EUKA14,913_9EUKA14,9_Excavata,Discoba,Discoba
NAEGR,914_NAEGR,9_Excavata,Discoba,Discoba
9EUKA23,921_9EUKA23,9_Excavata,Metamonada,Metamonada
9EUKA20,922_9EUKA20,9_Excavata,Metamonada,Metamonada
GIAIN,923_GIAIN,9_Excavata,Metamonada,Metamonada
9EUKA24,924_9EUKA24,9_Excavata,Metamonada,Metamonada
TRIVA,925_TRIVA,9_Excavata,Metamonada,Metamonada
GUITH,931_GUITH,9_Excavata,Cryotomonads,Cryotomonads
